TransactionID,CustomerName,Date,Time,Email,PhoneNumber,ProductName,Quantity,Price,TotalAmount,PaymentMethod,ShippingAddress,OrderStatus,CustomerFeedback,Region
T00053,Laura White,2024-07-17,21:52:16,ncarson@gmail.com,712-446-6290,Smartwatch,5,885.62,2201.38,Cash,"4318 Soto Wall, Williamsshire, NV 66450",Shipped,Great service,South
T00054,Tonya Flores,2024-01-18,01:31:08,markbrown@miller.com,+1-556-472-4629x89418,Headphones,2,969.53,4398.23,Online,"020 Heather Roads Apt. 282, Tonyamouth, AR 31346",Shipped,Great service,South
T00055,Elizabeth Crawford,2024-10-31,16:21:02,michaelrobbins@gmail.com,(983)216-2679x9570,Smartwatch,4,603.25,3956.56,Credit Card,"46545 Lopez Lakes, North Carolynview, LA 79588",Pending,Satisfied,South
T00056,Arthur Cohen,2024-08-11,02:48:49,andrew42@yahoo.com,001-335-910-7770x02843,Smartphone,1,893.24,2985.29,Online,"792 Jordan Lodge Suite 569, Gavinfort, IL 62585",Delivered,Arrived on time,North West
T00057,Lauren Munoz,2024-08-03,15:21:02,burnetttammy@curry-martin.org,(344)470-7619,Headphones,1,539.17,870.81,Online,"98874 Frank Road, Lake Richardland, MI 98505",Shipped,Great service,South
T00058,Peter Cummings,2024-10-12,21:13:46,sarah15@gomez-williams.com,966.716.7340,Laptop,4,606.28,3815.06,Credit Card,"9207 Roman Plain Apt. 391, New Stacey, CA 74426",Delivered,Great service,North West
T00059,James Perez,2024-10-18,18:27:57,freese@brown.org,001-488-901-2358x8168,Smartwatch,1,374.85,3278.01,Credit Card,"22791 Christian Well Apt. 718, North Stevenmouth, KY 83126",Delivered,Great service,North East
T00060,Jason Johnson,2024-04-24,07:26:50,bhodge@maxwell-hawkins.com,603.402.0632x484,Smartwatch,3,79.6,4698.12,Online,"830 Wu Street, South Steven, WA 79614",Shipped,Great service,South
T00061,Joshua Johnson,2024-01-15,01:50:36,petersonbriana@hotmail.com,(209)646-0848x4170,Laptop,3,266.47,2308.78,Credit Card,"24381 Gonzalez Burgs Suite 356, South Charlesborough, UT 92133",Delivered,Packaging was damaged,South
T00062,Chelsea Smith,2024-11-02,08:49:48,aaron44@williamson-snyder.org,063-336-9911x7282,Headphones,2,313.46,2459.32,Credit Card,"375 Cox Port, Jameston, MN 75440",Pending,N/A,North West
T00063,Michael Barnett,2024-10-29,19:44:08,william56@hotmail.com,468.457.1100x09200,Gaming Mouse,4,723.9,4684.82,Credit Card,"USCGC Scott, FPO AA 89871",Shipped,Arrived on time,West Coast
T00064,Amy Coleman,2024-01-23,17:28:46,xcervantes@cohen-hartman.info,174-827-8335x983,Headphones,1,488.0,1968.19,Cash,"USNV Smith, FPO AA 47676",Delivered,Great service,North East
T00065,Timothy Martinez,2024-04-13,23:36:23,bowmanstanley@norris.com,9309421046,Smartphone,2,340.31,1803.99,Cash,"662 Vasquez Crossroad Apt. 655, West Amanda, DC 33331",Pending,Packaging was damaged,North West
T00066,Brenda Ramirez,2024-09-30,04:15:30,cristian23@garcia.com,001-732-850-2147x28890,Headphones,3,573.14,3611.73,Cash,"20546 Guerrero Stravenue, Allisonshire, RI 71748",Delivered,Arrived on time,West Coast
T00067,Carolyn Dominguez,2024-03-11,18:13:34,wrobinson@gmail.com,5880299147,Laptop,3,300.55,361.9,Cash,"5168 Thomas Harbor Suite 141, Rodrigueztown, WA 01842",Delivered,Great service,South East
T00068,Jeremy Smith,2024-04-11,01:11:38,rhampton@farley-carlson.com,(589)271-0883,Headphones,4,545.32,3846.96,Credit Card,"95140 Morrison Throughway Suite 318, Port Michaelmouth, PA 31504",Shipped,Satisfied,South East
T00069,Scott Williams,2024-05-07,11:50:51,lopezjessica@jackson.com,901.476.6673x962,Laptop,1,615.24,4199.84,Credit Card,"PSC 7356, Box 7348, APO AE 98634",Shipped,Satisfied,North East
T00070,Teresa White,2024-11-06,01:36:21,yruiz@gonzalez.org,+1-178-050-0897x9477,Laptop,5,302.93,1213.92,Online,"17873 Sergio Unions, Terryfurt, CT 50446",Shipped,Great service,North East
T00071,Sarah Miller,2024-04-01,09:29:19,llynch@valencia-watson.biz,800.932.8196,Gaming Mouse,4,819.86,456.56,Cash,"91479 Smith Crest Suite 378, New Alan, AL 89315",Shipped,Great service,West Coast
T00072,Debbie Richards,2024-07-07,09:38:11,ljordan@gmail.com,766-060-9480x75469,Laptop,5,673.65,2977.92,Credit Card,"09351 Stewart Crest, New Travisstad, NV 88253",Pending,Satisfied,North West
T00073,Samantha Smith,2024-10-28,12:39:04,walterporter@martinez.biz,893.580.3049x5746,Headphones,4,209.06,1324.88,Online,"PSC 0575, Box 3321, APO AE 42442",Delivered,Great service,West Coast
T00074,Stacey Austin,2024-03-10,05:57:26,jhernandez@gmail.com,857-951-9695x85093,Laptop,1,650.69,2564.6,Cash,"75533 Kenneth Mountains, South Lisa, CT 51073",Shipped,Satisfied,South
T00075,Brandon Levine,2024-09-18,23:10:37,rmiller@walker-carlson.com,551-018-0278x36570,Gaming Mouse,4,719.05,594.59,Online,"75900 Fitzgerald Ports, West Thomasland, VA 66860",Delivered,Packaging was damaged,North West
T00076,Travis Riley,2024-08-25,00:23:26,jessica86@sanford.com,541-281-5862,Gaming Mouse,5,705.72,3110.74,Online,"8754 Jones Stravenue Suite 814, New Lindsay, NM 06715",Shipped,Great service,West Coast
T00077,Kimberly Robertson,2024-10-16,06:41:46,amberorr@hotmail.com,001-566-192-1733x45415,Gaming Mouse,5,605.92,1314.23,Credit Card,"324 Calhoun Crescent, Port Brandonport, MA 71774",Delivered,N/A,North East
T00078,Gary Cooper,2024-03-14,07:18:05,karen35@davenport.com,253.646.4806x91599,Smartphone,3,537.67,2003.72,Online,"9951 Jones Greens, North Sarah, ID 20567",Shipped,Arrived on time,South East
T00079,Raymond Torres,2024-06-27,18:36:49,allen10@black-zimmerman.com,+1-911-721-0071,Smartwatch,5,475.79,1926.3,Credit Card,"21475 Ortega Passage Suite 214, New Michaelburgh, MI 91850",Delivered,Great service,North East
T00080,Joshua Huff,2024-11-18,15:20:33,starkterry@johnson.org,280.363.5522x01020,Gaming Mouse,4,944.98,3442.87,Cash,"67771 Allen Well Suite 377, Carlsonmouth, WY 91109",Pending,Satisfied,West Coast
T00081,Ashley Harris,2024-08-05,20:06:00,noblemichelle@deleon-osborn.info,+1-383-918-1441x734,Laptop,3,930.22,2739.6,Online,"89061 Andrew Orchard Apt. 944, Jenniferfurt, PA 02081",Delivered,Arrived on time,South East
T00082,Sheila Lopez,2024-03-27,03:01:55,andreafrank@johnston.com,+1-057-788-9082x8161,Headphones,5,496.84,467.94,Cash,"713 Jennifer Extensions Apt. 024, Careyside, KY 31723",Delivered,Arrived on time,South East
T00083,Melanie Zuniga,2024-02-28,09:35:58,walshpaul@gmail.com,682-634-8307x4069,Headphones,1,122.73,2101.72,Credit Card,"6035 Mann Estate Suite 806, Cherylborough, WI 22615",Pending,Satisfied,South East
T00084,Cory Michael,2024-06-23,16:31:54,espinozahannah@yahoo.com,001-587-084-7094,Smartwatch,1,794.58,4971.06,Cash,"827 Mcdaniel Summit Suite 127, North Tracyborough, SC 77423",Shipped,Great service,South
T00085,Daniel Bauer,2024-10-29,02:21:09,crossjoshua@gmail.com,250.271.4922x2117,Gaming Mouse,1,282.2,2162.27,Online,"46547 Anderson Crest, Campbellburgh, NV 33459",Shipped,Great service,South
T00086,Katherine West,2024-10-23,07:35:16,dibarra@hotmail.com,(501)700-4581x6218,Headphones,4,991.31,765.32,Cash,"3745 Smith Springs, Simsland, ND 28957",Delivered,Great service,West Coast
T00087,Michelle Cross,2024-07-16,19:10:50,christine16@yahoo.com,001-529-000-2727x280,Laptop,5,834.39,41.03,Credit Card,"1490 Autumn Ridge Suite 344, Carolynburgh, AZ 20125",Delivered,Satisfied,South East
T00088,Kim Tucker,2024-02-19,18:47:23,barryjennifer@bryant.biz,571-935-4062,Smartwatch,4,645.07,1724.91,Cash,"54980 Anthony Roads Apt. 300, West Samanthaland, FL 94205",Pending,Packaging was damaged,West Coast
T00089,Amanda Ford,2024-07-26,17:15:28,hacevedo@riggs.com,105-893-5299,Smartwatch,3,299.86,2476.6,Credit Card,"4892 Kristen Fords Suite 999, Lake Debra, VA 54869",Shipped,Great service,North West
T00090,Ashley Anderson,2024-01-22,00:46:04,christopher26@hotmail.com,284.102.4772,Headphones,2,257.96,4121.31,Online,"7339 Poole Squares Apt. 022, Sherrishire, WV 39835",Pending,Packaging was damaged,South
T00091,Krystal Marsh,2024-09-30,18:48:48,joseph92@yahoo.com,297.212.3198x67436,Laptop,1,553.05,3060.34,Online,"94097 Garcia Plaza Apt. 801, Shepardtown, ME 98688",Shipped,Great service,South East
T00092,Kendra Smith,2024-09-18,18:09:17,nicoletaylor@adams.com,5579987811,Headphones,3,252.17,1918.68,Cash,"147 Frank Shoal, East Joseph, MA 19756",Shipped,Packaging was damaged,North East
T00093,Janice Price,2024-10-10,03:22:08,sandra52@gmail.com,358-139-3144x7499,Smartphone,4,26.32,3906.44,Cash,"31082 Douglas Plaza, New Daniel, TX 47707",Shipped,Arrived on time,North West
T00094,Vanessa Garcia,2024-06-25,10:32:04,donald88@cunningham.com,3018512346,Laptop,5,300.94,2118.53,Online,"521 Smith Via, New Aaronport, RI 85332",Delivered,Satisfied,South
T00095,Vanessa Parsons,2024-10-02,02:30:51,alicia83@williams.org,686.229.9747x9166,Headphones,3,406.23,3324.07,Cash,"34197 Michael Corners, Jasonland, HI 75137",Delivered,Satisfied,South East
T00096,Taylor Frey,2024-04-30,07:48:09,thompsondenise@yahoo.com,445.158.5005,Headphones,3,850.55,697.44,Online,"586 Arias Fall, Port Robert, WV 16750",Delivered,Packaging was damaged,North East
T00097,Jonathan Thomas,2024-01-27,04:05:53,wallacewesley@mitchell-lane.com,+1-820-137-3592,Smartphone,4,231.33,1416.22,Online,"8420 Armstrong Isle, North Sheliastad, AK 63450",Delivered,N/A,South
T00098,Rebecca Brown,2024-10-19,21:04:34,andrewjones@gmail.com,001-993-535-5190,Headphones,5,147.2,4910.66,Online,"141 Miller Cliffs, Port Morgan, TX 91750",Delivered,Packaging was damaged,North East
T00099,Laurie Anderson,2024-08-14,10:51:17,erica53@hotmail.com,(513)133-9521x96704,Headphones,3,354.48,2126.52,Online,"142 Caroline Ridges Apt. 990, Grayberg, AK 00926",Delivered,Great service,North East
T00100,Elizabeth Morgan,2024-03-02,16:27:18,patelteresa@gmail.com,779-204-4205x85485,Laptop,3,190.42,4032.84,Credit Card,"863 Cooper Flats, New Brandon, KY 36882",Shipped,N/A,West Coast
T00101,Erin Garcia,2024-05-23,21:49:27,ustout@hotmail.com,5170113006,Smartwatch,2,762.43,4558.04,Credit Card,"73129 Eric Groves Suite 523, Deniseburgh, MS 35281",Delivered,Packaging was damaged,South East
T00102,William Maldonado,2024-01-20,14:42:33,rbrown@snow-morrow.com,943.934.2514x7666,Headphones,3,807.21,489.97,Online,"230 Carey Stream, Port John, CA 29198",Pending,Packaging was damaged,South
T00103,Kimberly Leon,2024-10-05,11:44:52,austin75@hotmail.com,001-557-294-1697x0443,Laptop,4,415.59,3669.44,Online,"042 Eric Streets, Port Nancyville, GA 69186",Delivered,Packaging was damaged,South
T00104,Drew Warner,2024-10-23,09:25:14,davisjessica@boyd.com,958.607.5434x13480,Laptop,4,739.87,3523.41,Credit Card,"2915 Velazquez Forks, North Debbie, NV 31258",Shipped,Satisfied,North East
T00105,Daniel Taylor,2024-05-16,11:19:17,reidandre@gmail.com,001-592-398-5506x3001,Gaming Mouse,3,185.54,4129.79,Online,"8678 Everett Forge, Petersonfort, DC 90408",Delivered,Packaging was damaged,North East
T00106,Daniel Hernandez,2024-01-14,00:12:44,samanthafrazier@murphy.biz,1464098202,Headphones,1,379.08,2414.53,Online,"89118 Johnson Fall, Matthewburgh, CT 01986",Delivered,N/A,North East
T00107,James Miranda,2024-07-19,15:41:27,kstewart@yahoo.com,6752369322,Smartphone,3,823.69,4851.49,Cash,"9235 Shelby Parkways Suite 977, Brianbury, ME 47846",Pending,Arrived on time,South East
T00108,Brad Colon,2024-07-10,06:04:34,jamesgonzalez@gmail.com,(957)189-2591x5531,Laptop,3,66.93,831.21,Credit Card,"54349 Garcia Mountain, South Danielmouth, NH 18458",Shipped,Arrived on time,South
T00109,James Vasquez,2024-07-28,12:35:53,swilliams@hotmail.com,366-543-2687x9804,Gaming Mouse,2,482.24,2933.39,Online,"443 Ryan Stream Apt. 732, Mckinneyburgh, NM 21755",Pending,Packaging was damaged,South East
T00110,Shelley Stark,2024-03-24,18:22:51,alan93@yahoo.com,(942)697-1161,Smartwatch,5,446.69,913.85,Online,"15361 Tyler Spring Suite 401, Lake Karenbury, AK 49713",Shipped,Satisfied,North East
T00111,Carlos Conrad,2024-09-12,15:54:58,zreyes@gmail.com,(591)557-8844x179,Gaming Mouse,1,111.99,4043.52,Cash,"809 Matthew Villages Suite 238, New Shawnberg, DE 59853",Delivered,Arrived on time,West Coast
T00112,Erin Stewart,2024-01-03,20:14:09,alexander08@hancock.com,447-363-0862,Gaming Mouse,3,625.74,2367.73,Online,"USNV Cooper, FPO AP 02071",Delivered,Satisfied,South
T00113,Latoya Calderon,2024-05-22,04:10:02,vmiles@gilbert-williams.com,194-765-9384x46042,Gaming Mouse,2,281.95,2543.34,Cash,"PSC 5114, Box 8293, APO AE 20776",Shipped,Packaging was damaged,West Coast
T00114,Jeffery Cox,2024-06-05,11:32:03,dperkins@blackburn-murphy.com,+1-057-629-7051x86128,Headphones,3,133.61,707.17,Cash,"783 Lindsay Underpass Suite 490, Meganview, WY 87433",Shipped,Packaging was damaged,North West
T00115,Kelsey Cole,2024-08-09,20:07:17,mattheweaton@mendez.com,001-443-749-5729,Smartwatch,1,731.65,4356.86,Online,"75318 Jill Hills Apt. 996, Trevorborough, IN 30252",Pending,N/A,South
T00116,Matthew Mccall,2024-06-04,04:51:21,reedlindsay@gmail.com,(098)136-1969,Smartphone,4,869.58,3139.96,Cash,"74670 Kevin Overpass, Marcusstad, UT 08793",Shipped,Satisfied,West Coast
T00117,Nicholas Crawford,2024-10-09,06:22:41,usmith@gmail.com,(694)406-5502,Smartphone,4,921.3,1613.44,Online,"373 Freeman Drives Apt. 154, Dickersonberg, LA 48641",Pending,Arrived on time,West Coast
T00118,Theresa Mcfarland,2024-01-16,14:06:09,jenniferjensen@jenkins-watson.com,347-920-3565x97642,Smartwatch,3,969.9,2414.98,Online,"370 Caldwell Extensions, Arellanotown, CO 39098",Delivered,N/A,South
T00119,Derrick Wilson,2024-06-07,13:32:15,williamprice@gmail.com,459-310-0520,Headphones,5,938.15,3674.45,Credit Card,"8174 Peterson Club, South Paulaside, UT 22233",Pending,Satisfied,West Coast
T00120,David Johnson,2024-10-04,12:55:33,aliciafisher@hotmail.com,446.582.0536,Gaming Mouse,4,768.5,3072.18,Online,"84975 Seth Fort, East Josephmouth, HI 56493",Delivered,N/A,North West
T00121,Veronica Singleton,2024-10-14,20:32:50,kathryngolden@gilbert-miller.info,+1-445-220-7331x154,Smartphone,5,931.29,3822.88,Online,"0258 Golden Parks, Evelynfurt, AZ 04365",Pending,Great service,North East
T00122,Aaron Turner,2024-01-01,16:40:05,jasminecarter@gmail.com,(433)465-9911x8271,Gaming Mouse,3,724.47,1097.1,Online,"1419 David Turnpike, East Jasmine, TX 22849",Shipped,Packaging was damaged,North East
T00123,Timothy Phillips,2024-11-20,10:20:49,brivera@gmail.com,621.388.4619,Smartwatch,1,292.18,3384.29,Credit Card,"8532 Webster Forks, New Benjaminshire, KY 80500",Shipped,Arrived on time,South East
T00124,Brittany Green,2024-06-11,04:19:36,leachvincent@gmail.com,(705)042-3205,Laptop,2,391.33,1135.91,Online,"99935 Jeffrey Village, North Victoria, IN 53514",Pending,Great service,South
T00125,Scott Hunt,2024-08-29,22:45:16,osmith@evans-barnett.com,881-410-4167,Headphones,2,439.81,2126.24,Online,"387 Amanda Village, Victoriaside, CT 93957",Shipped,N/A,South
T00126,Cassandra James,2024-01-03,06:25:12,theresaporter@jordan.com,+1-915-017-4780x75182,Smartwatch,2,252.68,3288.87,Cash,"07132 King Field Suite 625, Williamsville, SD 41193",Pending,Great service,North East
